,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
0,53.737219,91.413928,74,11,104,48,390,20,487,0,2,0,3,0,2,64,7,7
7,53.7421535,91.413259,62,10,71,39,427,19,346,2,6,0,3,0,2,40,7,4
9,53.7426906,91.4132214,59,8,64,37,426,19,324,2,6,0,3,0,2,40,5,6
18,53.741225,91.413698,68,10,82,43,431,23,388,2,6,0,3,0,2,46,7,6
20,53.7436096,91.41371939999999,59,8,64,39,430,18,280,2,6,0,3,0,2,40,5,6
29,53.7175644,91.4293172,160,37,160,109,487,34,1758,9,6,9,9,3,1,82,9,38
50,53.729425,91.43966499999999,206,53,224,114,774,35,1535,3,18,20,12,6,9,88,30,39
57,53.697233,91.41119049999999,56,23,71,49,220,15,2616,1,4,0,6,5,0,35,0,15
59,53.6980332,91.4097803,62,29,81,47,246,18,2488,2,3,0,5,5,0,41,1,15
60,53.6975884,91.4097829,62,29,79,47,237,18,2500,2,3,0,5,5,0,39,1,15
62,53.69713640000001,91.4103961,57,27,75,47,232,16,2558,2,3,0,6,5,0,37,0,15
65,53.6995973,91.4089094,75,29,97,40,298,21,2237,2,1,1,4,3,0,52,1,20
67,53.69932859999999,91.40794580000001,76,28,101,39,297,21,2141,2,1,1,4,3,0,55,1,21
68,53.6979652,91.4083508,71,28,92,38,285,21,2359,2,1,1,4,4,0,49,1,19
71,53.6999544,91.40790559999999,77,28,101,40,296,22,2069,2,1,2,4,2,0,56,1,21
72,53.6993047,91.40659339999999,79,27,106,37,311,22,1988,2,1,2,4,1,0,63,1,20
73,53.6957132,91.4062747,73,26,88,52,267,21,2221,2,1,1,4,3,0,47,1,18
74,53.6949533,91.4066813,72,26,84,53,238,21,2262,2,1,0,4,4,0,43,1,18
78,53.693964,91.404749,76,22,84,50,206,22,2029,2,1,0,4,0,0,49,1,18
81,53.69445,91.4028997,80,22,97,44,234,23,1863,2,1,1,2,0,0,58,1,22
82,53.693408,91.4030856,73,20,92,45,232,18,1885,2,1,0,1,0,0,57,1,20
85,53.6965336,91.40046269999999,67,24,105,32,280,16,1490,2,0,2,1,1,0,64,1,25
86,53.6966607,91.3993096,64,21,97,30,270,16,1324,2,0,2,2,1,0,58,1,23
88,53.6971085,91.3994769,68,23,99,32,281,16,1346,2,0,2,2,1,0,60,1,23
89,53.6971892,91.40228499999999,79,26,114,32,287,22,1636,2,1,2,2,1,0,68,1,25
93,53.6792787,91.36970869999999,2,7,13,30,40,0,438,0,1,0,2,0,0,4,4,0
108,53.6825436,91.52330959999999,2,0,0,0,41,1,392,0,0,0,0,0,0,0,0,0
109,53.7384277,91.4597546,17,5,48,36,235,6,2134,0,0,1,8,0,0,34,0,5
110,53.7386192,91.45942439999999,17,5,48,36,235,6,2178,0,0,1,8,0,0,34,0,5
111,53.7259392,91.43747019999999,238,43,232,131,811,42,1471,11,16,15,11,6,6,100,26,42
112,53.72473460000001,91.4317588,219,54,247,132,541,43,1408,10,7,16,6,6,2,130,17,40
116,53.7246529,91.43025949999999,208,48,245,130,536,40,1397,10,6,12,6,6,2,136,16,37
118,53.7246403,91.4199929,122,34,173,89,381,28,1437,0,0,7,1,1,0,115,2,23
119,53.7305755,91.44630010000002,156,45,172,120,488,40,1971,2,10,22,9,8,5,80,16,20
122,53.7298737,91.4401802,194,51,231,118,773,35,1549,3,18,21,11,5,9,92,29,41
123,53.71043969999999,91.5130246,21,0,11,7,132,7,700,4,1,0,0,0,0,4,0,4
151,53.7236384,91.46967049999999,91,15,71,53,306,22,1821,1,4,10,5,6,2,23,1,16
152,53.7165194,91.4462525,133,41,148,89,816,19,1983,4,15,15,8,3,10,34,18,39
153,53.7159548,91.4431618,170,32,124,87,933,30,1870,4,14,12,8,2,8,24,21,39
156,53.71523389999999,91.43637419999999,160,18,116,75,684,30,1665,12,11,6,11,2,5,28,13,33
158,53.7154233,91.4408796,172,27,117,94,940,28,1833,6,11,11,8,2,6,22,20,32
162,53.715758,91.415921,76,22,78,72,476,9,2272,0,0,5,4,2,0,45,1,9
164,53.7164081,91.4160544,76,24,84,71,474,9,2144,0,0,5,4,2,0,51,1,9
165,53.7191744,91.41417039999999,87,30,93,39,461,14,1567,0,0,8,3,2,0,52,2,9
168,53.7193686,91.4143308,85,30,93,41,460,12,1527,0,0,8,3,2,0,52,2,9
172,53.7185571,91.44900179999999,155,42,170,114,787,40,1928,5,12,16,7,5,10,52,16,34
173,53.7237587,91.446319,226,44,205,116,794,53,1846,6,15,22,9,6,10,71,18,41
174,53.72595,91.44561499999999,237,45,227,120,810,53,1867,5,15,17,9,7,10,84,19,47
175,53.7265572,91.4461611,220,51,225,131,783,50,1886,5,13,17,9,7,8,90,18,41
178,53.72727889999999,91.4460462,221,51,223,131,736,50,1886,4,11,23,8,7,6,90,20,33
181,53.7302312,91.4451431,170,44,176,119,567,42,1819,3,14,23,12,7,7,80,17,22
184,53.725564,91.446671,221,42,206,127,793,48,1931,5,14,19,7,6,10,73,17,43
186,53.71098629999999,91.43842719999999,80,14,52,43,521,20,2456,4,7,7,7,1,3,12,3,18
187,53.7101167,91.4321389,68,8,57,69,388,15,2994,3,5,2,9,1,1,21,1,21
188,53.709957,91.431315,60,14,48,69,365,13,3128,2,4,2,9,1,1,16,1,19
189,53.708633,91.4251817,40,13,42,74,225,7,3949,0,1,2,5,0,1,14,0,14
192,53.730448,91.41208,50,6,86,31,217,16,815,0,0,0,0,0,0,52,2,7
193,53.7157628,91.4636714,69,33,81,58,323,16,2353,0,2,7,7,5,2,18,4,28
195,53.714821,91.46317619999999,65,33,74,59,314,13,2343,0,0,7,6,5,0,16,4,26
196,53.7145977,91.4640078,60,33,69,54,281,13,2317,0,0,7,6,5,0,18,4,21
197,53.7137657,91.46412389999999,56,29,56,45,275,12,2303,0,0,5,4,3,0,12,1,21
199,53.7132871,91.4643287,52,28,56,41,273,12,2283,0,0,5,4,3,0,12,1,21
200,53.7136401,91.46399129999999,54,30,56,46,275,12,2311,0,0,5,4,3,0,12,1,21
202,53.7058133,91.4219133,12,6,14,63,140,3,4545,0,2,0,5,0,1,2,0,4
203,53.7140587,91.44958,79,34,95,61,596,10,2288,4,9,11,4,0,8,28,9,24
204,53.71496610000001,91.45230629999999,91,34,116,72,552,13,2283,1,9,12,6,2,8,35,6,30
205,53.7176035,91.4358335,195,35,147,91,746,38,1427,12,12,9,13,3,6,36,16,37
208,53.71523209999999,91.41408109999999,75,16,45,50,460,12,2192,0,0,8,5,1,0,15,2,9
209,53.7145873,91.4096639,58,14,50,53,418,12,1796,0,0,8,7,1,0,19,1,5
225,53.7146339,91.4080188,56,19,57,40,453,13,1627,0,0,8,7,1,0,25,1,5
226,53.71515369999999,91.41112210000001,67,15,49,53,417,14,1884,0,0,8,7,1,0,19,1,7
234,53.7357044,91.4363146,127,58,229,98,718,22,1382,2,17,19,14,7,7,103,13,42
238,53.7363933,91.4358916,121,55,219,93,734,24,1346,2,17,19,14,7,7,101,12,38
240,53.736833,91.4373334,117,55,202,89,667,23,1540,1,16,19,13,7,7,93,12,37
244,53.7373906,91.433263,119,46,202,92,829,27,1224,2,15,14,17,6,5,84,9,47
245,53.7460203,91.41557739999999,60,7,60,32,464,18,232,2,6,0,4,0,2,40,5,4
248,53.7383452,91.43588629999999,98,48,195,91,738,24,1392,2,15,17,14,7,5,80,9,39
251,53.7389696,91.43589709999999,89,44,184,84,744,20,1368,2,15,17,14,7,5,71,9,39
254,53.7373876,91.43214110000001,117,44,193,93,861,30,1066,2,14,10,17,6,5,80,9,47
256,53.7386705,91.43456499999999,102,46,183,88,793,26,1294,2,15,10,17,6,5,73,7,41
260,53.7379918,91.43081989999999,116,36,173,95,893,34,945,2,12,8,16,5,5,68,9,45
264,53.7386324,91.4331835,111,44,175,87,860,29,1146,2,14,10,18,6,5,65,6,47
265,53.7383855,91.429597,126,30,175,84,950,45,918,2,12,7,16,5,4,78,8,41
267,53.7393984,91.4287987,145,30,170,83,975,52,847,2,14,6,17,5,4,78,7,38
271,53.7402338,91.4269691,141,27,169,87,1020,50,805,2,13,4,14,4,4,76,8,40
272,53.74063280000001,91.4259403,146,23,161,81,1029,50,756,2,14,2,14,4,6,80,8,32
274,53.74266,91.42043199999999,98,16,94,67,704,35,521,2,7,0,10,2,2,47,6,16
275,53.741615,91.4195287,104,16,98,68,745,37,503,2,7,0,9,1,2,55,6,14
299,53.7431543,91.42320989999999,116,19,117,74,801,41,548,1,10,0,11,4,2,57,6,24
300,53.74383820000001,91.41849719999999,90,10,81,56,554,32,409,1,6,0,8,0,2,44,5,12
305,53.7435249,91.42117449999999,104,15,96,67,700,40,474,1,7,0,10,3,2,47,6,17
323,53.744178,91.42249369999999,104,19,102,66,729,39,481,1,9,0,11,4,2,49,6,19
325,53.7437357,91.42160890000001,105,16,97,64,714,40,474,1,7,0,10,4,2,47,6,17
328,53.74330519999999,91.41905969999999,94,11,84,56,588,33,459,2,6,0,8,0,2,44,5,14
329,53.744121,91.41982639999999,97,12,83,56,599,35,425,2,6,0,8,1,2,44,5,14
332,53.74554930000001,91.4177424,75,8,71,43,528,23,297,2,6,0,8,0,2,44,5,10
344,53.74126769999999,91.4258396,147,21,160,79,1018,50,695,2,14,2,13,4,6,80,8,32
374,53.6968421,91.4226585,18,3,19,31,309,8,3908,0,3,0,6,5,0,3,0,6
375,53.7028431,91.39508029999999,44,14,77,13,313,11,686,2,0,2,3,1,0,47,1,15
376,53.70242589999999,91.39444590000001,40,13,74,9,278,9,656,2,0,2,2,1,0,45,1,15
379,53.7018138,91.3967782,55,18,91,21,290,13,746,2,0,2,3,1,0,54,1,21
381,53.70331090000001,91.3957404,45,17,80,17,322,10,706,2,0,2,3,1,0,50,1,15
383,53.7182243,91.4763286,94,11,51,34,148,26,1891,2,4,3,1,1,2,25,0,11
387,53.7174247,91.4754849,88,13,51,34,133,21,1999,2,4,2,1,1,2,25,0,11
390,53.72550099999999,91.43136899999999,210,53,239,123,561,40,1431,10,7,15,6,4,2,130,16,38
394,53.717988,91.434519,196,34,154,98,672,37,1467,12,10,9,11,3,4,52,15,37
398,53.732929,91.4280309,129,22,202,109,687,35,1160,2,13,7,10,4,6,110,11,31
399,53.7205786,91.4337388,214,42,211,118,601,37,1397,12,10,10,11,4,4,95,18,44
400,53.721697,91.433368,214,44,238,129,598,38,1352,12,11,14,10,5,4,118,18,42
409,53.723324,91.43302299999999,224,45,245,132,579,40,1379,10,13,15,10,5,4,124,18,43
411,53.724629,91.432729,219,47,252,129,562,40,1384,10,9,16,8,5,2,128,18,44
418,53.72548099999999,91.432464,214,49,244,125,579,36,1360,10,9,16,5,5,2,129,16,42
425,53.7220026,91.4015187,24,24,34,19,429,17,867,0,0,8,7,1,0,12,1,2
428,53.7180107,91.44168619999999,206,32,144,112,916,34,1670,10,12,12,8,5,6,33,23,41
430,53.718799,91.4415609,222,38,169,106,943,38,1628,12,13,14,10,5,6,41,23,43
433,53.718517,91.440135,222,36,154,115,921,34,1572,12,15,12,10,4,8,35,22,40
434,53.72288,91.44037499999999,269,45,231,139,891,48,1445,14,17,16,13,6,8,84,27,43
436,53.723206,91.4395651,257,46,234,136,862,46,1418,14,19,17,13,7,8,82,27,44
440,53.7284537,91.4384826,229,41,221,124,829,37,1528,10,14,20,13,6,5,90,26,39
441,53.729282,91.43827399999999,209,41,212,120,800,37,1501,6,18,20,14,6,9,86,23,39
445,53.7286893,91.4375343,216,40,229,125,802,35,1474,10,18,15,14,6,9,102,23,41
446,53.729816,91.437243,208,43,225,110,807,33,1436,7,18,19,14,5,9,96,21,45
458,53.7395137,91.4328053,106,39,168,87,884,27,1086,2,13,9,17,5,5,65,5,47
460,53.735995,91.42515499999999,152,22,176,95,917,46,1015,2,10,4,10,4,4,98,7,29
462,53.736112,91.424884,153,22,166,97,913,46,1013,2,11,4,10,3,4,94,6,29
463,53.739194,91.43388829999999,106,43,173,86,812,28,1210,2,15,9,18,5,5,65,6,45
464,53.7362069,91.42610719999999,152,21,178,95,951,48,1058,2,10,6,11,5,4,94,8,31
466,53.7402455,91.4337444,98,35,160,77,833,26,1156,2,13,9,17,5,5,65,5,40
467,53.739462,91.43507579999999,90,41,172,74,772,22,1290,2,15,11,16,6,5,65,6,41
468,53.7405839,91.43557369999999,76,35,149,64,745,21,1265,1,14,12,16,4,5,59,5,36
470,53.74427,91.435451,69,31,110,42,621,18,1109,1,9,6,11,3,5,44,4,28
473,53.7415522,91.4354017,78,35,138,56,749,22,1196,1,12,9,14,4,5,53,5,36
476,53.7409081,91.4368155,73,36,133,56,674,20,1315,1,14,14,12,5,5,48,6,34
477,53.74080379999999,91.43464,89,35,151,62,776,26,1196,1,13,9,16,4,5,63,5,36
485,53.7265218,91.4362088,236,43,228,112,764,38,1449,11,15,14,12,6,4,102,21,43
486,53.72622399999999,91.4331622,233,38,222,114,664,38,1358,10,11,16,6,4,2,109,16,42
491,53.72594700000001,91.43088399999999,202,52,234,121,591,41,1426,10,6,12,4,4,2,128,16,41
493,53.725902,91.4298699,190,47,235,122,583,40,1377,10,6,13,6,5,2,134,13,37
500,53.7276483,91.4365552,223,41,231,117,795,32,1454,10,16,15,13,6,7,106,21,44
501,53.7274375,91.43747139999999,231,41,222,127,818,36,1476,10,14,15,13,6,5,98,23,39
505,53.7277156,91.4379072,233,41,224,131,830,38,1496,10,14,18,13,6,5,96,24,39
506,53.72689219999999,91.4353762,231,40,222,109,758,37,1420,10,15,14,13,4,5,102,20,44
516,53.7267603,91.42811499999999,155,45,227,118,509,29,1315,9,6,11,5,6,2,126,10,40
532,53.7263094,91.4282921,166,44,227,114,514,31,1344,9,6,11,5,5,2,127,13,37
536,53.7266494,91.42654530000002,138,41,204,111,514,32,1357,8,4,10,5,3,2,124,7,31
538,53.7254441,91.4248003,155,40,199,110,473,36,1360,8,1,10,5,2,0,132,3,32
543,53.7262504,91.4244538,146,39,198,104,442,39,1334,8,2,9,6,1,0,134,2,32
545,53.7259341,91.4255129,150,41,203,108,490,34,1384,8,2,10,6,3,0,129,4,31
621,53.7235759,91.40459949999999,28,24,36,20,360,15,999,0,0,8,5,1,0,10,1,4
622,53.7258879,91.42513939999999,150,40,204,108,483,36,1371,8,1,10,6,3,0,131,4,34
648,53.7274085,91.4352387,218,40,222,111,771,28,1430,10,17,15,13,4,7,102,20,44
649,53.7298046,91.4336805,197,43,238,115,857,27,1361,8,17,14,13,6,7,114,19,46
651,53.7373944,91.4393462,112,51,189,72,533,20,1718,0,14,18,13,5,5,88,11,32
652,53.73979569999999,91.4435371,56,40,111,54,381,8,2261,0,9,14,10,2,3,50,8,17
653,53.740886,91.4385229,71,44,133,60,560,17,1350,0,14,14,12,5,5,48,8,33
656,53.740328,91.4397429,77,42,142,66,528,16,1607,0,14,14,11,3,5,56,8,32
669,53.7385677,91.4393715,92,47,182,71,544,16,1632,0,14,17,11,6,5,82,10,33
674,53.74592000000001,91.4394993,39,23,82,21,354,12,1137,0,5,7,6,2,3,34,4,17
676,53.7386716,91.4388259,93,47,183,75,581,16,1543,0,14,17,11,6,5,79,10,37
677,53.7403658,91.44382759999999,51,39,101,53,366,8,2288,0,9,14,10,2,3,46,8,17
691,53.7395867,91.4392211,81,46,154,67,557,16,1550,0,14,16,11,4,5,58,9,34
692,53.7417087,91.43897559999999,69,37,126,52,542,16,1374,0,12,14,12,5,5,48,8,29
694,53.7419112,91.43799109999999,65,36,126,52,574,16,1253,1,12,14,12,5,5,46,8,34
699,53.7422747,91.4394903,66,36,121,52,510,16,1464,0,10,14,12,3,5,46,8,29
700,53.7452294,91.439146,42,24,89,29,405,13,1165,0,7,8,8,4,3,36,4,17
708,53.744198,91.439815,48,30,97,39,409,14,1320,0,7,14,9,3,3,40,7,17
726,53.7456214,91.4396156,39,23,83,23,366,12,1175,0,5,7,7,3,3,34,4,17
754,53.6997434,91.42247789999999,15,4,24,50,235,5,4470,0,3,0,6,5,0,5,0,9
755,53.6992163,91.4229494,15,4,22,48,261,5,4410,0,3,0,6,5,0,3,0,9
757,53.7010824,91.4234242,15,5,20,58,229,5,4734,0,3,0,4,4,0,3,0,7
759,53.7067158,91.40444629999999,77,23,84,38,389,27,1330,2,0,7,8,1,0,50,1,15
761,53.7056559,91.4039257,84,23,97,35,341,26,1266,2,1,3,8,1,0,58,1,19
762,53.70543319999999,91.4029456,81,23,97,29,334,26,1132,2,0,3,7,1,0,59,1,21
764,53.7065572,91.4035213,78,23,94,32,368,25,1198,2,0,5,9,1,0,56,1,15
765,53.7066526,91.4026093,72,21,99,29,388,20,1106,2,0,5,8,1,0,61,1,15
767,53.7060165,91.4022932,76,21,95,29,348,22,1082,2,0,3,7,1,0,59,1,17
770,53.7050991,91.39957489999999,54,20,89,27,318,16,906,2,0,3,7,1,0,52,1,19
773,53.7050903,91.4011002,64,21,92,29,314,19,967,2,0,3,7,1,0,56,1,19
778,53.7064652,91.40062069999999,56,20,91,26,368,16,960,2,0,3,7,1,0,54,1,17
783,53.7170796,91.4777715,79,8,39,25,150,15,1637,2,2,3,1,1,0,21,0,6
789,53.7173058,91.4747568,88,18,51,35,142,21,2091,2,4,2,1,1,2,25,0,11
791,53.7185315,91.46191019999999,65,39,110,75,428,9,2306,1,5,11,8,9,4,30,4,29
793,53.7348053,91.44125249999999,119,47,174,69,509,23,1744,2,16,20,13,5,7,82,10,30
