,lat,long,leisure_points_in_0.01,shop_points_in_0.01,amenity_points_in_0.01,crossing_points_in_0.01,natural_points_in_0.01,sport_points_in_0.01,building_points_in_0.01,historic_points_in_0.01,tourism_points_in_0.01,office_points_in_0.01,bus_points_in_0.01,healthcare_points_in_0.01,hotel_points_in_0.01,parking_points_in_0.01,catering_points_in_0.01,study_points_in_0.01
1149,53.7102099,91.4781376,41,7,30,23,121,2,1583,2,0,3,1,1,0,15,0,4
1151,53.7160629,91.4249007,108,38,115,112,358,24,2230,9,2,6,6,1,1,54,3,20
1157,53.7171774,91.4264994,143,39,143,114,416,28,1975,9,3,7,7,3,1,84,3,24
1160,53.718747,91.4260652,153,41,150,116,412,28,1747,9,2,8,7,3,0,88,3,24
1162,53.7210444,91.4252673,151,39,151,108,394,28,1533,9,2,9,7,2,0,90,3,25
1163,53.725282,91.4242088,151,40,185,107,457,34,1374,8,1,9,6,2,0,129,2,26
1171,53.72696209999999,91.42297520000001,126,38,188,96,399,35,1317,1,1,9,5,1,0,129,2,25
1172,53.7275208,91.42223949999999,123,35,177,96,381,33,1305,1,1,8,4,1,0,123,2,25
1173,53.726477,91.423591,137,39,187,102,406,37,1357,2,2,9,6,1,0,129,2,26
1181,53.7202734,91.42377909999999,128,39,143,118,351,22,1655,9,1,6,7,2,0,82,2,18
1182,53.7210853,91.42172020000001,120,35,153,101,340,19,1632,0,0,6,6,1,0,92,1,21
1183,53.7210844,91.4229658,127,36,150,107,347,21,1589,7,0,7,7,1,0,90,2,19
1189,53.7290258,91.4210026,111,24,178,86,388,30,1256,1,1,4,2,1,0,124,3,19
1190,53.7284017,91.422536,120,32,186,104,403,37,1294,1,1,8,3,2,0,132,3,21
1191,53.7221408,91.423149,126,38,160,110,356,21,1473,7,1,8,7,1,0,97,2,23
1194,53.7290271,91.4194033,104,21,162,74,338,27,1215,1,0,4,1,0,0,113,3,16
1198,53.72187,91.4216579,124,35,158,103,350,21,1545,0,0,7,5,1,0,96,2,21
1199,53.7304539,91.4196638,97,22,169,78,359,29,1118,1,1,3,2,1,0,114,7,15
1201,53.7243958,91.4217549,134,38,174,99,407,31,1406,0,0,7,5,1,0,117,2,23
1202,53.7243918,91.4217266,134,38,175,100,407,31,1404,0,0,7,5,1,0,117,2,23
1216,53.7306097,91.4190344,100,20,166,73,347,29,1096,1,1,3,2,0,0,113,6,15
1219,53.7236972,91.4234352,141,40,173,109,424,27,1387,7,1,9,7,1,0,121,2,23
1307,53.7300919,91.4198234,100,21,167,84,370,29,1142,1,1,3,2,0,0,116,4,15
1309,53.7280252,91.41742579999999,82,18,132,70,313,22,1298,0,0,3,1,0,0,93,2,12
1322,53.7277503,91.4190034,102,23,152,74,374,27,1336,0,0,4,1,0,0,109,3,12
1332,53.7295173,91.41606349999999,70,15,116,48,250,23,1138,0,0,2,0,0,0,75,2,12
1336,53.73038649999999,91.4130812,51,6,90,31,229,14,895,0,0,0,0,0,0,54,2,7
1366,53.7432933,91.4372023,68,30,112,44,577,18,1180,1,9,11,10,4,5,42,4,29
1368,53.7166475,91.4011866,28,21,33,21,521,15,1006,0,0,9,7,1,0,16,1,2
1369,53.7067908,91.4578667,16,11,11,14,198,7,2746,0,0,0,0,0,0,2,0,6
1372,53.722243,91.367508,5,0,11,0,76,5,295,0,0,0,0,1,0,2,0,0
1374,53.6929795,91.4330202,6,1,9,12,334,0,3209,0,0,0,0,0,0,1,0,6
1375,53.7077627,91.45688,18,13,12,20,230,7,2983,0,1,0,0,0,0,2,0,6
1376,53.7181738,91.377167,6,2,12,4,177,2,549,0,0,0,2,1,0,10,0,0
1378,53.7338548,91.4696846,23,4,20,20,195,13,1528,0,2,2,2,1,2,8,0,0
1379,53.73516679999999,91.4693863,19,1,19,18,190,11,1453,0,0,2,2,0,0,8,0,0
1381,53.7300158,91.4262454,145,27,199,99,521,37,1217,1,8,6,4,3,4,128,5,32
1382,53.734952,91.47048199999999,20,4,19,19,165,13,1344,0,0,2,2,0,0,8,0,0
1384,53.716083,91.40892579999999,59,17,46,44,415,15,1593,0,0,8,7,1,0,15,1,5
1386,53.6973439,91.4306014,15,2,12,28,387,5,4557,0,0,0,2,0,0,1,0,7
1387,53.69293440000001,91.4268091,18,2,18,19,371,8,2995,0,3,0,2,4,0,1,0,8
1392,53.69389049999999,91.4335337,8,1,9,12,350,2,3401,0,0,0,0,0,0,1,0,6
1393,53.7006318,91.42444789999999,13,5,20,59,250,5,4666,0,4,0,4,4,1,3,0,8
1394,53.7069599,91.4551769,14,3,7,17,234,3,3265,0,0,0,0,0,0,0,0,4
1398,53.7166139,91.43712599999999,182,24,138,77,750,30,1539,12,10,7,13,3,4,28,14,43
1400,53.7441124,91.438209,58,29,111,41,512,15,1136,0,9,12,10,5,5,42,5,25
1401,53.69759639999999,91.50000159999999,5,0,12,4,86,3,804,0,0,0,0,0,0,4,2,2
1403,53.69965269999999,91.4973454,5,0,12,8,74,3,960,0,0,0,0,0,0,4,2,2
1404,53.7437243,91.4396573,53,33,104,43,451,14,1334,0,7,14,9,3,3,42,8,19
1406,53.6993665,91.4976473,5,0,12,7,74,3,946,0,0,0,0,0,0,4,2,2
1408,53.6988999,91.4979034,5,0,12,6,74,3,920,0,0,0,0,0,0,4,2,2
1411,53.7448895,91.43702499999999,63,27,102,35,534,18,1105,1,9,8,11,3,5,38,4,27
1413,53.7183749,91.4767847,96,11,50,33,146,26,1809,2,2,2,1,1,0,25,0,11
1415,53.6998439,91.4968562,5,0,14,6,78,3,936,0,0,0,0,0,0,4,2,2
1416,53.7239789,91.4233539,141,40,177,110,420,27,1371,7,1,9,7,1,0,123,2,23
1417,53.6991672,91.496816,5,0,12,6,76,3,876,0,0,0,0,0,0,4,2,2
1418,53.6997849,91.4029363,80,26,114,34,297,22,1334,2,1,2,3,1,0,70,1,23
1419,53.7310248,91.4390933,190,47,210,106,749,35,1505,2,18,19,11,6,9,86,21,42
1421,53.69887629999999,91.4043279,80,27,116,35,283,22,1696,2,1,2,3,1,0,70,1,25
1423,53.7075162,91.3636634,0,2,3,0,264,0,180,0,0,0,0,0,0,0,1,0
1427,53.7048181,91.40501429999999,86,24,103,34,322,28,1468,2,1,3,5,1,0,62,1,21
1438,53.7259513,91.4558491,86,29,136,113,513,30,2100,2,7,18,10,10,6,44,7,21
1442,53.7141771,91.4072071,50,20,55,36,489,12,1566,0,0,8,7,1,0,25,1,4
1444,53.7032717,91.4019265,80,26,110,26,325,22,1046,2,0,3,3,1,0,68,1,23
1448,53.7173202,91.4188557,96,40,113,91,419,17,2212,0,0,4,3,2,0,60,1,18
1451,53.7208172,91.4583038,92,37,134,89,540,29,2192,2,5,17,10,9,4,42,5,30
1452,53.71751159999999,91.4509384,111,38,159,98,703,27,2041,3,11,15,9,4,10,51,12,31
1457,53.6930649,91.42870479999999,15,1,17,19,360,7,3271,0,0,0,0,2,0,1,0,9
